Feature,Coefficient,Absolute_Coefficient
num__Total_Trans_Ct,-2.745250568734308,2.745250568734308
num__Total_Trans_Amt,1.5636520287824283,1.5636520287824283
cat__Gender_M,-0.9016931880689241,0.9016931880689241
cat__Card_Category_Blue,-0.7946635025839509,0.7946635025839509
num__Total_Relationship_Count,-0.7410361372092856,0.7410361372092856
num__Total_Revolving_Bal,-0.7247550151561618,0.7247550151561618
num__Total_Ct_Chng_Q4_Q1,-0.6716731826490071,0.6716731826490071
cat__Marital_Status_Married,-0.6106019526536719,0.6106019526536719
num__Contacts_Count_12_mon,0.5706695961842688,0.5706695961842688
num__Months_Inactive_12_mon,0.5193620692075318,0.5193620692075318
cat__Income_Category_$40K - $60K,-0.4372294435913141,0.4372294435913141
cat__Card_Category_Silver,-0.4091751525271304,0.4091751525271304
cat__Income_Category_$120K +,0.35482741882355623,0.35482741882355623
cat__Income_Category_Unknown,-0.3493463705943147,0.3493463705943147
cat__Income_Category_Less than $40K,-0.32568497292789694,0.32568497292789694
cat__Marital_Status_Divorced,-0.2938168205103101,0.2938168205103101
cat__Education_Level_Graduate,-0.2905848730027246,0.2905848730027246
num__Dependent_count,0.23521527697301234,0.23521527697301234
cat__Card_Category_Gold,0.22637537325175527,0.22637537325175527
cat__Education_Level_High School,-0.21876583044253228,0.21876583044253228
cat__Income_Category_$60K - $80K,-0.21521755083136698,0.21521755083136698
cat__Education_Level_College,-0.21404052425839254,0.21404052425839254
cat__Education_Level_Unknown,-0.1607069027523205,0.1607069027523205
cat__Education_Level_Uneducated,-0.15872773301895576,0.15872773301895576
num__Credit_Limit,-0.12558065058035067,0.12558065058035067
num__Avg_Utilization_Ratio,-0.0965035545093001,0.0965035545093001
num__Total_Amt_Chng_Q4_Q1,-0.08871266121693062,0.08871266121693062
num__Months_on_book,-0.06846630409486723,0.06846630409486723
cat__Education_Level_Doctorate,0.06345609336512255,0.06345609336512255
num__Avg_Open_To_Buy,-0.060205068611915144,0.060205068611915144
cat__Education_Level_Post-Graduate,0.045386460512773306,0.045386460512773306
cat__Card_Category_Platinum,0.043479972262292894,0.043479972262292894
cat__Income_Category_$80K - $120K,0.038667609524305924,0.038667609524305924
cat__Gender_F,-0.032290121528106425,0.032290121528106425
cat__Marital_Status_Single,-0.022223882704208945,0.022223882704208945
cat__Marital_Status_Unknown,-0.007340653728840374,0.007340653728840374
num__Customer_Age,-0.0009485158940334483,0.0009485158940334483
